playlist_genre,danceability,energy,valence,liveness,speechiness,acousticness,track_popularity,track_name,track_artist
rock,0.618,0.748,0.663,0.0473,0.358,0.0384,77,Roxanne,The Police
rock,0.586,0.7,0.897,0.0318,0.0363,0.0589,69,My Sharona,The Knack
rock,0.575,0.318,0.385,0.0934,0.109,0.683,74,Walk On the Wild Side,Lou Reed
rock,0.445,0.706,0.768,0.205,0.0461,0.234,70,The Boys Are Back In Town,Thin Lizzy
rock,0.574,0.913,0.423,0.156,0.133,0.061,84,Highway to Hell,AC/DC
rock,0.532,0.495,0.308,0.0754,0.0343,0.659,79,Vienna,Billy Joel
rock,0.284,0.875,0.595,0.402,0.0422,0.00752,73,Alive,Pearl Jam
rock,0.662,0.737,0.744,0.119,0.0296,0.108,69,The Best,Tina Turner
rock,0.666,0.936,0.776,0.153,0.0476,0.00244,72,Give It Away,Red Hot Chili Peppers
rock,0.475,0.432,0.648,0.161,0.0302,0.183,79,Good Riddance (Time of Your Life),Green Day
rock,0.516,0.549,0.907,0.184,0.0373,0.501,73,The Boys Of Summer,Don Henley
rock,0.421,0.751,0.789,0.17,0.0472,0.2,72,Break on Through (To the Other Side),The Doors
rock,0.324,0.938,0.543,0.0961,0.102,0.032,71,Sabotage,Beastie Boys
rock,0.267,0.953,0.568,0.283,0.096,0.00211,72,Pour Some Sugar On Me - Remastered 2017,Def Leppard
rock,0.465,0.919,0.537,0.262,0.0408,1.83e-05,73,Learn to Fly,Foo Fighters
rock,0.741,0.58,0.944,0.212,0.0304,0.117,70,Hit Me With Your Best Shot,Pat Benatar
rock,0.404,0.72,0.475,0.0466,0.0623,5.59e-05,73,Bullet With Butterfly Wings - Remastered 2012,The Smashing Pumpkins
rock,0.215,0.927,0.49,0.126,0.0452,0.000273,72,Interstate Love Song - 2019 Remaster,Stone Temple Pilots
rock,0.651,0.801,0.776,0.0825,0.0514,0.123,70,London Calling - Remastered,The Clash
rock,0.481,0.262,0.375,0.832,0.0414,0.735,75,Wish You Were Here,Pink Floyd
