playlist_genre,track_popularity
hip-hop,68
hip-hop,65
hip-hop,65
hip-hop,65
hip-hop,65
hip-hop,64
hip-hop,64
hip-hop,64
hip-hop,64
hip-hop,64
hip-hop,66
hip-hop,64
hip-hop,64
hip-hop,64
hip-hop,63
rock,65
hip-hop,66
hip-hop,67
hip-hop,62
hip-hop,64
hip-hop,55
hip-hop,44
hip-hop,60
hip-hop,64
hip-hop,58
hip-hop,45
hip-hop,37
hip-hop,68
hip-hop,45
hip-hop,51
hip-hop,49
hip-hop,27
hip-hop,38
hip-hop,41
hip-hop,25
hip-hop,51
hip-hop,45
hip-hop,60
hip-hop,46
hip-hop,51
k-pop,62
k-pop,63
k-pop,61
k-pop,50
k-pop,54
k-pop,49
pop,61
pop,64
pop,38
pop,50
pop,65
pop,36
pop,44
pop,58
pop,45
pop,27
pop,65
pop,67
pop,64
pop,63
pop,64
pop,62
pop,60
pop,60
pop,60
pop,59
pop,56
pop,56
pop,56
pop,55
pop,55
rock,27
rock,24
rock,47
rock,53
rock,24
rock,50
rock,46
rock,27
rock,19
rock,44
rock,33
rock,65
rock,54
rock,57
rock,59
rock,58
rock,59
rock,45
rock,49
rock,55
rock,53
rock,67
rock,50
rock,17
rock,61
rock,55
rock,54
rock,51
rock,48
rock,50
rock,47
metal,44
metal,64
punk,61
punk,66
punk,60
punk,67
punk,61
punk,59
punk,23
punk,57
punk,57
punk,67
rock,67
rock,36
rock,62
rock,57
rock,30
rock,52
rock,45
rock,42
rock,41
hip-hop,66
hip-hop,67
hip-hop,68
hip-hop,68
gaming,60
gaming,60
gaming,57
gaming,28
gaming,41
gaming,67
gaming,20
gaming,58
gaming,32
gaming,20
gaming,31
gaming,52
gaming,31
gaming,34
gaming,32
gaming,36
gaming,42
gaming,29
gaming,21
gaming,42
gaming,30
gaming,35
gaming,39
gaming,53
gaming,37
gaming,49
gaming,46
gaming,48
gaming,46
gaming,40
gaming,47
gaming,59
gaming,43
hip-hop,66
hip-hop,66
hip-hop,65
hip-hop,58
hip-hop,60
korean,60
korean,65
korean,67
korean,68
korean,64
korean,64
korean,63
korean,61
korean,63
korean,62
korean,61
korean,60
korean,60
korean,59
korean,59
korean,58
korean,58
korean,58
korean,56
korean,56
korean,56
korean,56
korean,55
korean,55
korean,55
korean,55
hip-hop,17
hip-hop,41
hip-hop,62
hip-hop,66
hip-hop,68
hip-hop,68
hip-hop,61
hip-hop,60
hip-hop,59
hip-hop,65
hip-hop,58
hip-hop,67
hip-hop,64
hip-hop,62
hip-hop,62
hip-hop,59
hip-hop,60
hip-hop,64
hip-hop,68
hip-hop,58
hip-hop,65
hip-hop,67
hip-hop,58
punk,67
punk,50
punk,49
punk,49
punk,47
punk,59
punk,45
punk,48
punk,44
punk,43
punk,55
punk,43
punk,44
punk,42
hip-hop,36
hip-hop,38
hip-hop,28
hip-hop,48
hip-hop,40
hip-hop,38
hip-hop,37
hip-hop,37
hip-hop,34
hip-hop,28
hip-hop,34
hip-hop,19
hip-hop,34
hip-hop,33
hip-hop,25
hip-hop,33
hip-hop,32
hip-hop,17
hip-hop,32
hip-hop,16
hip-hop,33
hip-hop,17
hip-hop,31
hip-hop,55
hip-hop,59
hip-hop,42
hip-hop,44
hip-hop,57
hip-hop,52
hip-hop,55
hip-hop,61
hip-hop,58
hip-hop,40
hip-hop,54
hip-hop,55
hip-hop,59
hip-hop,56
hip-hop,48
hip-hop,56
hip-hop,63
hip-hop,56
hip-hop,63
hip-hop,51
hip-hop,59
hip-hop,38
hip-hop,54
hip-hop,54
rock,55
rock,59
rock,56
rock,66
rock,58
rock,55
rock,48
rock,28
rock,27
rock,68
rock,16
rock,31
pop,42
pop,28
pop,52
pop,27
pop,43
pop,57
pop,11
pop,39
pop,40
pop,17
pop,45
pop,30
pop,48
pop,41
pop,18
pop,37
pop,33
pop,33
pop,36
pop,32
pop,20
pop,41
pop,47
pop,42
pop,23
pop,15
pop,44
pop,24
pop,16
pop,22
pop,15
pop,28
pop,17
pop,29
pop,26
pop,20
pop,13
pop,13
pop,20
pop,20
pop,24
pop,37
pop,20
pop,16
pop,13
pop,37
pop,26
pop,29
pop,22
pop,37
pop,27
pop,35
pop,15
pop,15
pop,31
pop,26
pop,17
pop,13
pop,25
pop,21
pop,23
pop,18
pop,24
pop,38
pop,46
pop,16
pop,25
pop,25
pop,22
pop,25
pop,15
pop,22
pop,19
pop,26
pop,21
